"RTC End Time Stamp","Zone Name","Zone PTID","RTC Zonal LBMP","RTC Zonal Losses","RTC Zonal Congestion","RTC Zonal Price Version"
"2024/06/01 00:15:00","N.Y.C.","61761","19.03","1.04","0","1"
"2024/06/01 00:30:00","N.Y.C.","61761","18.88","1.05","0","1"
"2024/06/01 00:45:00","N.Y.C.","61761","18.82","1.01","0","1"
"2024/06/01 01:00:00","N.Y.C.","61761","18.15","1.06","0","1"
"2024/06/01 01:15:00","N.Y.C.","61761","18.04","1.07","0","1"
"2024/06/01 01:30:00","N.Y.C.","61761","17.9","1.05","0","1"
"2024/06/01 01:45:00","N.Y.C.","61761","17.8","1.06","0","1"
"2024/06/01 02:00:00","N.Y.C.","61761","16.02","0.96","0","1"
"2024/06/01 02:15:00","N.Y.C.","61761","15.58","0.95","0","1"
"2024/06/01 02:30:00","N.Y.C.","61761","13.41","0.82","0","1"
"2024/06/01 02:45:00","N.Y.C.","61761","12.47","0.73","0","1"
"2024/06/01 03:00:00","N.Y.C.","61761","11.5","0.68","0","1"
"2024/06/01 03:15:00","N.Y.C.","61761","11.49","0.7","0","1"
"2024/06/01 03:30:00","N.Y.C.","61761","10.08","0.61","0","1"
"2024/06/01 03:45:00","N.Y.C.","61761","10.08","0.6","0","1"
"2024/06/01 04:00:00","N.Y.C.","61761","11.21","0.66","0","1"
"2024/06/01 04:15:00","N.Y.C.","61761","12.43","0.69","0","1"
"2024/06/01 04:30:00","N.Y.C.","61761","12.45","0.7","0","1"
"2024/06/01 04:45:00","N.Y.C.","61761","12.46","0.73","0","1"
"2024/06/01 05:00:00","N.Y.C.","61761","15.99","0.95","0","1"
"2024/06/01 05:15:00","N.Y.C.","61761","16.73","0.96","0","1"
"2024/06/01 05:30:00","N.Y.C.","61761","16.74","0.93","0","1"
"2024/06/01 05:45:00","N.Y.C.","61761","16.73","0.93","0","1"
"2024/06/01 06:00:00","N.Y.C.","61761","15.11","0.77","0","1"
"2024/06/01 06:15:00","N.Y.C.","61761","15.58","0.77","0","1"
"2024/06/01 06:30:00","N.Y.C.","61761","15.67","0.8","0","1"
"2024/06/01 06:45:00","N.Y.C.","61761","15.63","0.84","0","1"
"2024/06/01 07:00:00","N.Y.C.","61761","14.49","0.85","0","1"
"2024/06/01 07:15:00","N.Y.C.","61761","15.61","0.94","0","1"
"2024/06/01 07:30:00","N.Y.C.","61761","14.51","0.87","0","1"
"2024/06/01 07:45:00","N.Y.C.","61761","14.13","0.84","0","1"
"2024/06/01 08:00:00","N.Y.C.","61761","14.44","0.8","0","1"
"2024/06/01 08:15:00","N.Y.C.","61761","14.29","0.83","0","1"
"2024/06/01 08:30:00","N.Y.C.","61761","14.32","0.82","0","1"
"2024/06/01 08:45:00","N.Y.C.","61761","14.46","0.87","0","1"
"2024/06/01 09:00:00","N.Y.C.","61761","11.19","0.66","0","1"
"2024/06/01 09:15:00","N.Y.C.","61761","11.15","0.67","0","1"
"2024/06/01 09:30:00","N.Y.C.","61761","12.47","0.76","0","1"
"2024/06/01 09:45:00","N.Y.C.","61761","12.49","0.77","0","1"
"2024/06/01 10:00:00","N.Y.C.","61761","-8.83","0.78","20.75","1"
"2024/06/01 10:15:00","N.Y.C.","61761","-6.21","0.99","20.75","1"
"2024/06/01 10:30:00","N.Y.C.","61761","14.61","0.98","0","1"
"2024/06/01 10:45:00","N.Y.C.","61761","14.55","0.96","0","1"
"2024/06/01 11:00:00","N.Y.C.","61761","14.34","0.95","0","1"
"2024/06/01 11:15:00","N.Y.C.","61761","14.38","0.97","0","1"
"2024/06/01 11:30:00","N.Y.C.","61761","14.57","1","0","1"
"2024/06/01 11:45:00","N.Y.C.","61761","14.66","0.99","0","1"
"2024/06/01 12:00:00","N.Y.C.","61761","14.48","0.98","0","1"
"2024/06/01 12:15:00","N.Y.C.","61761","14.54","1","0","1"
"2024/06/01 12:30:00","N.Y.C.","61761","15.08","1.03","0","1"
"2024/06/01 12:45:00","N.Y.C.","61761","15.09","1","0","1"
"2024/06/01 13:00:00","N.Y.C.","61761","11.13","0.72","0","1"
"2024/06/01 13:15:00","N.Y.C.","61761","11.03","0.73","0","1"
"2024/06/01 13:30:00","N.Y.C.","61761","11.52","0.83","0","1"
"2024/06/01 13:45:00","N.Y.C.","61761","11.67","0.86","0","1"
"2024/06/01 14:00:00","N.Y.C.","61761","15.12","1.12","0","1"
"2024/06/01 14:15:00","N.Y.C.","61761","15.22","1.17","0","1"
"2024/06/01 14:30:00","N.Y.C.","61761","15.77","1.21","0","1"
"2024/06/01 14:45:00","N.Y.C.","61761","15.84","1.28","0","1"
"2024/06/01 15:00:00","N.Y.C.","61761","16.92","1.38","0","1"
"2024/06/01 15:15:00","N.Y.C.","61761","17.29","1.35","0","1"
"2024/06/01 15:30:00","N.Y.C.","61761","18.1","1.42","0","1"
"2024/06/01 15:45:00","N.Y.C.","61761","18.57","1.49","0","1"
"2024/06/01 16:00:00","N.Y.C.","61761","18.67","1.48","0","1"
"2024/06/01 16:15:00","N.Y.C.","61761","20.16","1.61","0","1"
"2024/06/01 16:30:00","N.Y.C.","61761","21.21","1.72","0","1"
"2024/06/01 16:45:00","N.Y.C.","61761","22.23","1.76","0","1"
"2024/06/01 17:00:00","N.Y.C.","61761","21.25","1.66","0","1"
"2024/06/01 17:15:00","N.Y.C.","61761","23.58","1.89","0","1"
"2024/06/01 17:30:00","N.Y.C.","61761","26.3","2.15","0","1"
"2024/06/01 17:45:00","N.Y.C.","61761","30.38","2.51","2","1"
"2024/06/01 18:00:00","N.Y.C.","61761","27.67","2.07","0","1"
"2024/06/01 18:15:00","N.Y.C.","61761","35.41","2.65","0","1"
"2024/06/01 18:30:00","N.Y.C.","61761","35.25","2.61","-0.01","1"
"2024/06/01 18:45:00","N.Y.C.","61761","52.41","2.59","-17","1"
"2024/06/01 19:00:00","N.Y.C.","61761","36.9","2.48","-0.01","1"
"2024/06/01 19:15:00","N.Y.C.","61761","38.04","2.56","-0.01","1"
"2024/06/01 19:30:00","N.Y.C.","61761","35.09","2.42","-0.01","1"
"2024/06/01 19:45:00","N.Y.C.","61761","31.8","2.33","0","1"
"2024/06/01 20:00:00","N.Y.C.","61761","35.9","2.75","0","1"
"2024/06/01 20:15:00","N.Y.C.","61761","34.27","2.51","0","1"
"2024/06/01 20:30:00","N.Y.C.","61761","32.2","2.41","0","1"
"2024/06/01 20:45:00","N.Y.C.","61761","28.91","2.12","0","1"
"2024/06/01 21:00:00","N.Y.C.","61761","33.01","2.39","0","1"
"2024/06/01 21:15:00","N.Y.C.","61761","28.84","1.99","0","1"
"2024/06/01 21:30:00","N.Y.C.","61761","26.35","1.79","0","1"
"2024/06/01 21:45:00","N.Y.C.","61761","22.31","1.48","0","1"
"2024/06/01 22:00:00","N.Y.C.","61761","21.56","1.43","0","1"
"2024/06/01 22:15:00","N.Y.C.","61761","19.54","1.3","0","1"
"2024/06/01 22:30:00","N.Y.C.","61761","18.05","1.1","0","1"
"2024/06/01 22:45:00","N.Y.C.","61761","18.71","1.19","0","1"
"2024/06/01 23:00:00","N.Y.C.","61761","17.17","1","0","1"
"2024/06/01 23:15:00","N.Y.C.","61761","17.22","0.96","0","1"
"2024/06/01 23:30:00","N.Y.C.","61761","15.89","0.93","0","1"
"2024/06/01 23:45:00","N.Y.C.","61761","15.88","0.96","0","1"
"2024/06/02 00:00:00","N.Y.C.","61761","17.54","1.13","0","1"
"2024/06/02 00:15:00","N.Y.C.","61761","16.68","1.02","0","1"
"2024/06/02 00:30:00","N.Y.C.","61761","16.52","1.05","0","1"
"2024/06/02 00:45:00","N.Y.C.","61761","15.69","0.97","0","1"
"2024/06/02 01:00:00","N.Y.C.","61761","17.62","0.98","0","1"
"2024/06/02 01:15:00","N.Y.C.","61761","16.66","0.99","0","1"
"2024/06/02 01:30:00","N.Y.C.","61761","16","0.96","0","1"
"2024/06/02 01:45:00","N.Y.C.","61761","15.63","0.88","0","1"
"2024/06/02 02:00:00","N.Y.C.","61761","15.93","0.86","0","1"
"2024/06/02 02:15:00","N.Y.C.","61761","15.48","0.83","0","1"
"2024/06/02 02:30:00","N.Y.C.","61761","15.05","0.82","0","1"
"2024/06/02 02:45:00","N.Y.C.","61761","12.11","0.65","0","1"
"2024/06/02 03:00:00","N.Y.C.","61761","17.3","0.9","0","1"
"2024/06/02 03:15:00","N.Y.C.","61761","16.58","0.85","0","1"
"2024/06/02 03:30:00","N.Y.C.","61761","16.46","0.86","0","1"
"2024/06/02 03:45:00","N.Y.C.","61761","16.3","0.83","0","1"
"2024/06/02 04:00:00","N.Y.C.","61761","15.56","0.84","0","1"
"2024/06/02 04:15:00","N.Y.C.","61761","15.56","0.84","0","1"
"2024/06/02 04:30:00","N.Y.C.","61761","15.23","0.79","0","1"
"2024/06/02 04:45:00","N.Y.C.","61761","15.14","0.8","0","1"
"2024/06/02 05:00:00","N.Y.C.","61761","14.18","0.73","0","1"
"2024/06/02 05:15:00","N.Y.C.","61761","15.59","0.84","0","1"
"2024/06/02 05:30:00","N.Y.C.","61761","15.15","0.8","0","1"
"2024/06/02 05:45:00","N.Y.C.","61761","15.12","0.87","0","1"
"2024/06/02 06:00:00","N.Y.C.","61761","15.16","0.91","0","1"
"2024/06/02 06:15:00","N.Y.C.","61761","15.16","0.87","0","1"
"2024/06/02 06:30:00","N.Y.C.","61761","15.25","0.9","0","1"
"2024/06/02 06:45:00","N.Y.C.","61761","15.69","0.97","0","1"
"2024/06/02 07:00:00","N.Y.C.","61761","11.09","0.67","0","1"
"2024/06/02 07:15:00","N.Y.C.","61761","11.06","0.69","0","1"
"2024/06/02 07:30:00","N.Y.C.","61761","10.1","0.64","0","1"
"2024/06/02 07:45:00","N.Y.C.","61761","10.32","0.65","0","1"
"2024/06/02 08:00:00","N.Y.C.","61761","12.11","0.71","0","1"
"2024/06/02 08:15:00","N.Y.C.","61761","13.68","0.83","0","1"
"2024/06/02 08:30:00","N.Y.C.","61761","12.1","0.73","0","1"
"2024/06/02 08:45:00","N.Y.C.","61761","12.12","0.73","0","1"
"2024/06/02 09:00:00","N.Y.C.","61761","15.66","0.82","0","1"
"2024/06/02 09:15:00","N.Y.C.","61761","15.84","0.8","0","1"
"2024/06/02 09:30:00","N.Y.C.","61761","15.91","0.86","0","1"
"2024/06/02 09:45:00","N.Y.C.","61761","16.58","0.92","0","1"
"2024/06/02 10:00:00","N.Y.C.","61761","13.56","0.95","2.76","1"
"2024/06/02 10:15:00","N.Y.C.","61761","13.38","0.98","2.76","1"
"2024/06/02 10:30:00","N.Y.C.","61761","17.23","1.05","0","1"
"2024/06/02 10:45:00","N.Y.C.","61761","16.79","1.01","0","1"
"2024/06/02 11:00:00","N.Y.C.","61761","16.06","1.02","0","1"
"2024/06/02 11:15:00","N.Y.C.","61761","17.08","1.12","0","1"
"2024/06/02 11:30:00","N.Y.C.","61761","17.08","1.1","0","1"
"2024/06/02 11:45:00","N.Y.C.","61761","17.08","1.1","0","1"
"2024/06/02 12:00:00","N.Y.C.","61761","17.28","1.07","0","1"
"2024/06/02 12:15:00","N.Y.C.","61761","17.1","1.09","0","1"
"2024/06/02 12:30:00","N.Y.C.","61761","17.92","1.17","0","1"
"2024/06/02 12:45:00","N.Y.C.","61761","17.37","1.18","0","1"
"2024/06/02 13:00:00","N.Y.C.","61761","18.05","1.27","0","1"
"2024/06/02 13:15:00","N.Y.C.","61761","18.16","1.24","0","1"
"2024/06/02 13:30:00","N.Y.C.","61761","19.8","1.38","0","1"
"2024/06/02 13:45:00","N.Y.C.","61761","21.36","1.53","0","1"
"2024/06/02 14:00:00","N.Y.C.","61761","20.17","1.48","0","1"
"2024/06/02 14:15:00","N.Y.C.","61761","20.86","1.6","0","1"
"2024/06/02 14:30:00","N.Y.C.","61761","21.31","1.67","0","1"
"2024/06/02 14:45:00","N.Y.C.","61761","21.34","1.69","0","1"
"2024/06/02 15:00:00","N.Y.C.","61761","19.82","1.43","0","1"
"2024/06/02 15:15:00","N.Y.C.","61761","20.78","1.56","0","1"
"2024/06/02 15:30:00","N.Y.C.","61761","27.62","1.74","-4.4","1"
"2024/06/02 15:45:00","N.Y.C.","61761","76.46","1.98","-49.74","1"
"2024/06/02 16:00:00","N.Y.C.","61761","21.99","1.78","0","1"
"2024/06/02 16:15:00","N.Y.C.","61761","21.24","1.88","2.46","1"
"2024/06/02 16:30:00","N.Y.C.","61761","25.8","2.02","0","1"
"2024/06/02 16:45:00","N.Y.C.","61761","29.77","2.33","0","1"
"2024/06/02 17:00:00","N.Y.C.","61761","31","2.21","-2.19","1"
"2024/06/02 17:15:00","N.Y.C.","61761","23.91","2.12","4.75","1"
"2024/06/02 17:30:00","N.Y.C.","61761","31.46","2.28","0","1"
"2024/06/02 17:45:00","N.Y.C.","61761","35.62","2.52","0","1"
"2024/06/02 18:00:00","N.Y.C.","61761","30.36","2.09","0","1"
"2024/06/02 18:15:00","N.Y.C.","61761","23.85","1.83","0","1"
"2024/06/02 18:30:00","N.Y.C.","61761","25.3","1.94","-0.01","1"
"2024/06/02 18:45:00","N.Y.C.","61761","32.74","2.62","-0.01","1"
"2024/06/02 19:00:00","N.Y.C.","61761","30.4","2.36","-0.01","1"
"2024/06/02 19:15:00","N.Y.C.","61761","29.39","2.28","0","1"
"2024/06/02 19:30:00","N.Y.C.","61761","27.98","2.1","0","1"
"2024/06/02 19:45:00","N.Y.C.","61761","32.89","2.41","0","1"
"2024/06/02 20:00:00","N.Y.C.","61761","29.65","2.17","0","1"
"2024/06/02 20:15:00","N.Y.C.","61761","29.1","2.13","0","1"
"2024/06/02 20:30:00","N.Y.C.","61761","28.58","2.14","0","1"
"2024/06/02 20:45:00","N.Y.C.","61761","28.85","2.11","0","1"
"2024/06/02 21:00:00","N.Y.C.","61761","33.61","2.63","-0.01","1"
"2024/06/02 21:15:00","N.Y.C.","61761","34.38","2.75","-0.01","1"
"2024/06/02 21:30:00","N.Y.C.","61761","28.6","2.24","-0.01","1"
"2024/06/02 21:45:00","N.Y.C.","61761","25.38","1.73","-2.26","1"
"2024/06/02 22:00:00","N.Y.C.","61761","33.79","2.47","0","1"
"2024/06/02 22:15:00","N.Y.C.","61761","33.55","2.4","0","1"
"2024/06/02 22:30:00","N.Y.C.","61761","32.71","2.34","0","1"
"2024/06/02 22:45:00","N.Y.C.","61761","25.71","1.79","0","1"
"2024/06/02 23:00:00","N.Y.C.","61761","31.63","1.79","0","1"
"2024/06/02 23:15:00","N.Y.C.","61761","29.57","1.75","0","1"
"2024/06/02 23:30:00","N.Y.C.","61761","22.5","1.31","0","1"
"2024/06/02 23:45:00","N.Y.C.","61761","24.19","1.37","0","1"
"2024/06/03 00:00:00","N.Y.C.","61761","26.56","1.53","0","1"
"2024/06/03 00:15:00","N.Y.C.","61761","25.25","1.32","0","1"
"2024/06/03 00:30:00","N.Y.C.","61761","23.8","1.24","0","1"
"2024/06/03 00:45:00","N.Y.C.","61761","23.37","1.26","0","1"
"2024/06/03 01:00:00","N.Y.C.","61761","24.44","1.27","0","1"
"2024/06/03 01:15:00","N.Y.C.","61761","23.5","1.25","0","1"
"2024/06/03 01:30:00","N.Y.C.","61761","22.27","1.14","0","1"
"2024/06/03 01:45:00","N.Y.C.","61761","21.87","1.1","0","1"
"2024/06/03 02:00:00","N.Y.C.","61761","19.2","1","0","1"
"2024/06/03 02:15:00","N.Y.C.","61761","18.12","0.88","0","1"
"2024/06/03 02:30:00","N.Y.C.","61761","18.09","0.91","0","1"
"2024/06/03 02:45:00","N.Y.C.","61761","18.01","0.94","0","1"
"2024/06/03 03:00:00","N.Y.C.","61761","17.67","0.76","0","1"
"2024/06/03 03:15:00","N.Y.C.","61761","17.54","0.79","0","1"
"2024/06/03 03:30:00","N.Y.C.","61761","17.07","0.78","0","1"
"2024/06/03 03:45:00","N.Y.C.","61761","17.08","0.78","0","1"
"2024/06/03 04:00:00","N.Y.C.","61761","17.19","0.8","0","1"
"2024/06/03 04:15:00","N.Y.C.","61761","17.09","0.77","0","1"
"2024/06/03 04:30:00","N.Y.C.","61761","17.19","0.76","0","1"
"2024/06/03 04:45:00","N.Y.C.","61761","17.73","0.81","0","1"
"2024/06/03 05:00:00","N.Y.C.","61761","22.13","0.87","0","1"
"2024/06/03 05:15:00","N.Y.C.","61761","22.13","0.83","0","1"
"2024/06/03 05:30:00","N.Y.C.","61761","22.67","0.98","0","1"
"2024/06/03 05:45:00","N.Y.C.","61761","23.85","1.09","0","1"
"2024/06/03 06:00:00","N.Y.C.","61761","23.8","1.26","-0.04","1"
"2024/06/03 06:15:00","N.Y.C.","61761","24.74","1.31","0","1"
"2024/06/03 06:30:00","N.Y.C.","61761","25.65","1.45","0","1"
"2024/06/03 06:45:00","N.Y.C.","61761","26.94","1.62","0","1"
"2024/06/03 07:00:00","N.Y.C.","61761","33.44","2.16","0","1"
"2024/06/03 07:15:00","N.Y.C.","61761","34.22","2.12","0","1"
"2024/06/03 07:30:00","N.Y.C.","61761","36.51","2.35","0","1"
"2024/06/03 07:45:00","N.Y.C.","61761","35.4","2.19","0","1"
"2024/06/03 08:00:00","N.Y.C.","61761","32.8","2.34","0","1"
"2024/06/03 08:15:00","N.Y.C.","61761","32.89","2.44","0","1"
"2024/06/03 08:30:00","N.Y.C.","61761","34.08","2.58","0","1"
"2024/06/03 08:45:00","N.Y.C.","61761","37.57","2.85","0","1"
"2024/06/03 09:00:00","N.Y.C.","61761","32.16","2.46","0","1"
"2024/06/03 09:15:00","N.Y.C.","61761","33.09","2.48","0","1"
"2024/06/03 09:30:00","N.Y.C.","61761","27.14","2.03","0","1"
"2024/06/03 09:45:00","N.Y.C.","61761","31.55","2.45","0","1"
"2024/06/03 10:00:00","N.Y.C.","61761","27.97","2.05","0","1"
"2024/06/03 10:15:00","N.Y.C.","61761","28.03","2.14","-0.1","1"
"2024/06/03 10:30:00","N.Y.C.","61761","32.23","2.42","-0.6","1"
"2024/06/03 10:45:00","N.Y.C.","61761","28.2","2.18","-0.07","1"
"2024/06/03 11:00:00","N.Y.C.","61761","30.24","2.43","-0.48","1"
"2024/06/03 11:15:00","N.Y.C.","61761","36.18","2.8","-1.13","1"
"2024/06/03 11:30:00","N.Y.C.","61761","37.03","2.77","-1.23","1"
"2024/06/03 11:45:00","N.Y.C.","61761","39.04","2.98","-1.39","1"
"2024/06/03 12:00:00","N.Y.C.","61761","34.11","2.68","-0.66","1"
"2024/06/03 12:15:00","N.Y.C.","61761","34.72","2.71","-0.78","1"
"2024/06/03 12:30:00","N.Y.C.","61761","32.14","2.62","-0.68","1"
"2024/06/03 12:45:00","N.Y.C.","61761","36.39","3.12","-0.82","1"
"2024/06/03 13:00:00","N.Y.C.","61761","39.9","3.24","-1.47","1"
"2024/06/03 13:15:00","N.Y.C.","61761","38.36","3.05","-1.39","1"
"2024/06/03 13:30:00","N.Y.C.","61761","38.33","3.11","-1.08","1"
"2024/06/03 13:45:00","N.Y.C.","61761","36.91","3.15","-0.59","1"
"2024/06/03 14:00:00","N.Y.C.","61761","32.87","3.01","-0.69","1"
"2024/06/03 14:15:00","N.Y.C.","61761","37.09","3.34","-1.06","1"
"2024/06/03 14:30:00","N.Y.C.","61761","43.89","3.83","-2.1","1"
"2024/06/03 14:45:00","N.Y.C.","61761","37.42","3.27","-1.44","1"
"2024/06/03 15:00:00","N.Y.C.","61761","38.25","3.46","-1.51","1"
"2024/06/03 15:15:00","N.Y.C.","61761","36.98","3.27","-1.37","1"
"2024/06/03 15:30:00","N.Y.C.","61761","36.86","3.35","-0.95","1"
"2024/06/03 15:45:00","N.Y.C.","61761","37.1","3.62","0","1"
"2024/06/03 16:00:00","N.Y.C.","61761","37.11","3.62","-1.18","1"
"2024/06/03 16:15:00","N.Y.C.","61761","35.75","3.6","0","1"
"2024/06/03 16:30:00","N.Y.C.","61761","43.79","4.2","-1.41","1"
"2024/06/03 16:45:00","N.Y.C.","61761","47.32","4.56","-1.67","1"
"2024/06/03 17:00:00","N.Y.C.","61761","85.94","8.25","-4.62","1"
"2024/06/03 17:15:00","N.Y.C.","61761","86.85","8.69","-1.28","1"
"2024/06/03 17:30:00","N.Y.C.","61761","86.94","8.55","0","1"
"2024/06/03 17:45:00","N.Y.C.","61761","86.94","8.28","-1.36","1"
"2024/06/03 18:00:00","N.Y.C.","61761","91.73","8.87","0","1"
"2024/06/03 18:15:00","N.Y.C.","61761","82.85","8.01","0","1"
"2024/06/03 18:30:00","N.Y.C.","61761","91.63","8.51","-2.02","1"
"2024/06/03 18:45:00","N.Y.C.","61761","91.64","8.24","-1.03","1"
"2024/06/03 19:00:00","N.Y.C.","61761","76.46","6.64","0","1"
"2024/06/03 19:15:00","N.Y.C.","61761","75","6.44","0","1"
"2024/06/03 19:30:00","N.Y.C.","61761","69.88","6","0","1"
"2024/06/03 19:45:00","N.Y.C.","61761","76.46","6.64","0","1"
"2024/06/03 20:00:00","N.Y.C.","61761","43.85","3.81","0","1"
"2024/06/03 20:15:00","N.Y.C.","61761","45.62","3.84","0","1"
"2024/06/03 20:30:00","N.Y.C.","61761","39.68","3.28","0","1"
"2024/06/03 20:45:00","N.Y.C.","61761","38.5","3.24","0","1"
"2024/06/03 21:00:00","N.Y.C.","61761","43.02","3.15","0","1"
"2024/06/03 21:15:00","N.Y.C.","61761","42.51","2.93","0","1"
"2024/06/03 21:30:00","N.Y.C.","61761","39.57","2.9","0","1"
"2024/06/03 21:45:00","N.Y.C.","61761","35.73","2.74","0","1"
"2024/06/03 22:00:00","N.Y.C.","61761","35.31","2.82","0","1"
"2024/06/03 22:15:00","N.Y.C.","61761","35.81","2.86","0","1"
"2024/06/03 22:30:00","N.Y.C.","61761","31.57","2.55","0","1"
"2024/06/03 22:45:00","N.Y.C.","61761","30.83","2.36","-0.66","1"
"2024/06/03 23:00:00","N.Y.C.","61761","34.07","2.18","-0.81","1"
"2024/06/03 23:15:00","N.Y.C.","61761","31.99","2.16","-0.56","1"
"2024/06/03 23:30:00","N.Y.C.","61761","31.77","2.09","-0.65","1"
"2024/06/03 23:45:00","N.Y.C.","61761","33.26","1.94","-1.07","1"
"2024/06/04 00:00:00","N.Y.C.","61761","38.38","2.24","0","1"
"2024/06/04 00:15:00","N.Y.C.","61761","40.97","2.21","0","1"
"2024/06/04 00:30:00","N.Y.C.","61761","38.37","1.93","-0.6","1"
"2024/06/04 00:45:00","N.Y.C.","61761","32.39","1.8","0","1"
"2024/06/04 01:00:00","N.Y.C.","61761","32.66","1.52","-0.22","1"
"2024/06/04 01:15:00","N.Y.C.","61761","32.96","1.62","-0.16","1"
"2024/06/04 01:30:00","N.Y.C.","61761","32.65","1.49","-0.73","1"
"2024/06/04 01:45:00","N.Y.C.","61761","31.61","1.37","-1.04","1"
"2024/06/04 02:00:00","N.Y.C.","61761","26.37","1.47","0","1"
"2024/06/04 02:15:00","N.Y.C.","61761","26.39","1.49","0","1"
"2024/06/04 02:30:00","N.Y.C.","61761","23.02","1.32","0","1"
"2024/06/04 02:45:00","N.Y.C.","61761","23","1.36","0","1"
"2024/06/04 03:00:00","N.Y.C.","61761","22.47","1.45","0","1"
"2024/06/04 03:15:00","N.Y.C.","61761","21.02","1.32","0","1"
"2024/06/04 03:30:00","N.Y.C.","61761","20.47","1.23","0","1"
"2024/06/04 03:45:00","N.Y.C.","61761","20.4","1.19","0","1"
"2024/06/04 04:00:00","N.Y.C.","61761","20.35","1.1","0","1"
"2024/06/04 04:15:00","N.Y.C.","61761","20.16","1.07","0","1"
"2024/06/04 04:30:00","N.Y.C.","61761","20.49","1.16","0","1"
"2024/06/04 04:45:00","N.Y.C.","61761","20.25","1.16","0","1"
"2024/06/04 05:00:00","N.Y.C.","61761","23.2","1.44","0","1"
"2024/06/04 05:15:00","N.Y.C.","61761","21.21","1.33","0","1"
"2024/06/04 05:30:00","N.Y.C.","61761","22.81","1.47","0","1"
"2024/06/04 05:45:00","N.Y.C.","61761","23.02","1.48","0","1"
"2024/06/04 06:00:00","N.Y.C.","61761","24.45","1.77","0","1"
"2024/06/04 06:15:00","N.Y.C.","61761","23.57","1.75","0","1"
"2024/06/04 06:30:00","N.Y.C.","61761","25.44","1.91","0","1"
"2024/06/04 06:45:00","N.Y.C.","61761","25.86","1.89","0","1"
"2024/06/04 07:00:00","N.Y.C.","61761","31.08","2.3","0","1"
"2024/06/04 07:15:00","N.Y.C.","61761","32.14","2.38","0","1"
"2024/06/04 07:30:00","N.Y.C.","61761","32.42","2.51","0","1"
"2024/06/04 07:45:00","N.Y.C.","61761","31.6","2.45","0","1"
"2024/06/04 08:00:00","N.Y.C.","61761","31.25","2.48","0","1"
"2024/06/04 08:15:00","N.Y.C.","61761","30.37","2.35","0","1"
"2024/06/04 08:30:00","N.Y.C.","61761","29.37","2.4","0","1"
"2024/06/04 08:45:00","N.Y.C.","61761","31.38","2.53","-0.47","1"
"2024/06/04 09:00:00","N.Y.C.","61761","35.06","2.45","-1.26","1"
"2024/06/04 09:15:00","N.Y.C.","61761","34.72","2.37","-1.16","1"
"2024/06/04 09:30:00","N.Y.C.","61761","34.22","2.34","-1.15","1"
"2024/06/04 09:45:00","N.Y.C.","61761","34.41","2.52","-1.19","1"
"2024/06/04 10:00:00","N.Y.C.","61761","28.7","2.11","-0.2","1"
"2024/06/04 10:15:00","N.Y.C.","61761","33.8","2.57","-0.6","1"
"2024/06/04 10:30:00","N.Y.C.","61761","34","2.61","-0.72","1"
"2024/06/04 10:45:00","N.Y.C.","61761","34.4","2.56","-1.02","1"
"2024/06/04 11:00:00","N.Y.C.","61761","38.24","2.74","-1.26","1"
"2024/06/04 11:15:00","N.Y.C.","61761","38.77","2.78","-1.27","1"
"2024/06/04 11:30:00","N.Y.C.","61761","38.77","2.71","-1.27","1"
"2024/06/04 11:45:00","N.Y.C.","61761","43.44","3","-1.47","1"
"2024/06/04 12:00:00","N.Y.C.","61761","38.68","2.73","-0.99","1"
"2024/06/04 12:15:00","N.Y.C.","61761","38.64","2.71","-1.21","1"
"2024/06/04 12:30:00","N.Y.C.","61761","38.57","2.67","-1.26","1"
"2024/06/04 12:45:00","N.Y.C.","61761","39.96","2.84","-1.12","1"
"2024/06/04 13:00:00","N.Y.C.","61761","40.47","2.5","-1.18","1"
"2024/06/04 13:15:00","N.Y.C.","61761","42.45","2.65","-1.29","1"
"2024/06/04 13:30:00","N.Y.C.","61761","42.76","2.67","-1.37","1"
"2024/06/04 13:45:00","N.Y.C.","61761","44.76","2.93","-1.61","1"
"2024/06/04 14:00:00","N.Y.C.","61761","51.57","3.19","-2.16","1"
"2024/06/04 14:15:00","N.Y.C.","61761","44.21","2.74","-1.66","1"
"2024/06/04 14:30:00","N.Y.C.","61761","43.19","2.74","-1.35","1"
"2024/06/04 14:45:00","N.Y.C.","61761","44.21","2.8","-1.42","1"
"2024/06/04 15:00:00","N.Y.C.","61761","51.71","3.2","-2.14","1"
"2024/06/04 15:15:00","N.Y.C.","61761","52.23","3.23","-2.17","1"
"2024/06/04 15:30:00","N.Y.C.","61761","55.45","3.54","-2.09","1"
"2024/06/04 15:45:00","N.Y.C.","61761","54.95","3.59","0","1"
"2024/06/04 16:00:00","N.Y.C.","61761","49.93","3.09","0","1"
"2024/06/04 16:15:00","N.Y.C.","61761","58.88","3.9","0","1"
"2024/06/04 16:30:00","N.Y.C.","61761","67.01","4.32","0","1"
"2024/06/04 16:45:00","N.Y.C.","61761","68.25","4.22","0","1"
"2024/06/04 17:00:00","N.Y.C.","61761","97.22","6.86","0","1"
"2024/06/04 17:15:00","N.Y.C.","61761","105.23","7.29","-0.8","1"
"2024/06/04 17:30:00","N.Y.C.","61761","118.96","8.09","0","1"
"2024/06/04 17:45:00","N.Y.C.","61761","118.85","7.57","0","1"
"2024/06/04 18:00:00","N.Y.C.","61761","64.65","4.23","0","1"
